pass_name,arm,concurrency,trials,ok,p50,p95,p99,mean,max,throughput_per_s
A-pure,vector,1,5,5,41.387784993276,44.09338239929639,44.63263328070752,42.00302918907255,44.76744600106031,23.80247170547228
A-pure,fts,1,5,5,65.44585298979655,79.49517120141536,82.10415344219655,68.13030319754034,82.75639900239184,14.67574217737554
A-pure,rrf,1,5,5,43.05970200221054,48.91629900666885,49.81229500728659,44.31814720155671,50.03629400744103,22.55886383523888
B-e2e,embed+rrf,1,3,3,351.6354110033717,749.3761055113282,784.7308339120355,482.3834356696655,793.5695160122123,2.0730396735363783
