pass_name,arm,concurrency,trials,ok,p50,p95,p99,mean,max,throughput_per_s
A-pure,vector,1,100,100,51.85101251117885,76.42610130860702,96.70664918725404,55.43409761012299,146.30843998747878,18.036559275979098
A-pure,fts,1,100,100,59.23248149338178,131.31636284524564,201.81071476894644,71.91963199089514,611.8620590132196,13.902582670215756
A-pure,rrf,1,100,100,55.13004551175982,76.41357114625862,120.8319504733664,56.77988624898717,141.36538899037987,17.609388220453212
B-e2e,embed+rrf,1,30,30,352.90104200248607,871.6433755049362,4361.083378671614,563.9998223021394,5766.937890002737,1.7730502040199079
C-concurrency,rrf,1,100,100,48.16659149946645,85.65042809641454,94.12111641257077,54.03211037919391,107.54892299883068,18.504841305907824
C-concurrency,rrf,10,100,100,67.08019849611446,222.48358144133812,240.08642855362268,96.60574391804403,240.97471198183484,96.90743010610204
C-concurrency,rrf,25,100,100,111.30108650831971,1110.639184093452,1113.2743676492832,289.31241240992676,1196.7106419906486,81.36835853734075
